ID_PROD_UNID_FAT,QTD_FINAL_V33,NEC_DIRETA_PCS_V33,NEC_ESTRUTURAL_BRUTA_PCS_V33,ESTOQUE_ESTRUTURAL_CONSUMIDO_PCS_V33,NEC_ESTRUTURAL_PCS_V33,NEC_TOTAL_PCS_V33,QTD_PRODUZIR_DIRETA_SOLVER_V33,QTD_PRODUZIR_ESTRUTURAL_SOLVER_V33,DIF_FALTA_PAI_FILHO_V33,DIF_SOBRA_PAI_FILHO_V33
AGO26|Acessórios|0860AB-BR,0.0,0.0,22762.192397117076,22762.192397117076,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0860AR-BR,0.0,0.0,22762.192397117076,22762.192397117076,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0860PO-BR,0.0,0.0,22762.192397117076,22762.192397117076,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0860TB-BR,0.0,0.0,21414.170037846514,21414.170037846514,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0860TE-BR,0.0,0.0,16694.150000000005,16694.150000000005,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0860TS-BR,0.0,0.0,22440.355980251312,22440.355980251312,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0860VD-01,0.0,0.0,23423.941518872074,23423.941518872074,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|0861TE-BR,0.0,0.0,3034.0211985585343,3034.0211985585343,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|1189TS-BR,0.0,0.0,321.83641686576414,321.83641686576414,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|1209AR-PR,0.0,0.0,661.749121754996,661.749121754996,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|1209PO-PR,0.0,0.0,661.749121754996,661.749121754996,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|1209TB-PR,0.0,0.0,341.79838050906386,341.79838050906386,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|1209TE-PR,0.0,0.0,319.95074124593214,319.95074124593214,0.0,0.0,0.0,0.0,0.0,0.0
